open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
137.2,139.3,134.96,134.98,22467100.0,300308.SZ,20240719,中际旭创,NA,CNY
134.0,136.5,132.14,134.6,20627100.0,300308.SZ,20240722,中际旭创,NA,CNY
137.0,137.08,130.9,130.92,20271700.0,300308.SZ,20240723,中际旭创,NA,CNY
129.51,135.5,129.19,130.34,22128800.0,300308.SZ,20240724,中际旭创,NA,CNY
126.7,127.38,120.85,122.27,34355300.0,300308.SZ,20240725,中际旭创,NA,CNY
122.71,125.8,121.07,124.25,22474500.0,300308.SZ,20240726,中际旭创,NA,CNY
123.99,131.31,123.16,129.59,26996300.0,300308.SZ,20240729,中际旭创,NA,CNY
128.0,129.48,125.68,127.66,15853800.0,300308.SZ,20240730,中际旭创,NA,CNY
126.38,130.0,123.1,129.5,28132600.0,300308.SZ,20240731,中际旭创,NA,CNY
134.5,135.45,129.51,129.9,27979200.0,300308.SZ,20240801,中际旭创,NA,CNY
122.38,124.22,118.68,118.98,37967600.0,300308.SZ,20240802,中际旭创,NA,CNY
113.04,116.8,108.99,110.12,47058900.0,300308.SZ,20240805,中际旭创,NA,CNY
114.9,117.24,112.92,114.48,33381700.0,300308.SZ,20240806,中际旭创,NA,CNY
113.0,116.0,112.0,113.32,20635200.0,300308.SZ,20240807,中际旭创,NA,CNY
110.0,112.29,109.0,110.5,20445100.0,300308.SZ,20240808,中际旭创,NA,CNY
113.0,115.0,112.28,112.53,25518200.0,300308.SZ,20240809,中际旭创,NA,CNY
112.35,115.4,112.35,113.35,17528900.0,300308.SZ,20240812,中际旭创,NA,CNY
115.0,118.49,114.1,116.94,25479600.0,300308.SZ,20240813,中际旭创,NA,CNY
120.02,120.5,115.78,115.78,20635400.0,300308.SZ,20240814,中际旭创,NA,CNY
115.76,116.92,113.8,115.1,14976200.0,300308.SZ,20240815,中际旭创,NA,CNY
118.2,121.89,118.2,119.96,27506200.0,300308.SZ,20240816,中际旭创,NA,CNY
